Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,ai_summary
Night World: Daughters Of Darkness,"""There’s something strange about the new girls in town. Briar Creek, Oregon, has never seen anything like the supernatural grace of Rowan, Kestrel, and Jade, three sisters who move into the dilapidated old house next to Mark and Mary-Lynnette Carter""--Publisher.",['L.J. Smith'],http://books.google.com/books/content?id=c9icDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=c9icDQAAQBAJ&printsec=frontcover&dq=Night+World:+Daughters+Of+Darkness&hl=&cd=1&source=gbs_api,Simon and Schuster,2016-12-06,http://books.google.nl/books?id=c9icDQAAQBAJ&dq=Night+World:+Daughters+Of+Darkness&hl=&source=gbs_api,['Juvenile Fiction'],11.0,"""Daughters of Darkness"" by L.J. Smith is a well-received book in the Night World series, focusing on three vampire sisters on the run from their oppressive society, trying to live among humans in Oregon. Their brother Ash, initially portrayed negatively, finds his soulmate, Mary-Lynette, adding complexity to the story. Positive reviews praise the engaging characters, particularly Ash, and the intriguing plot with elements of mystery, romance, and humor. Many readers admire Mary-Lynette's strength and Ash's character development. However, some criticize the book for its lack of depth in expanding the Night World universe and Mary-Lynette's character portrayal as too presumptuous. Despite mixed feedback, the book is recommended for its supernatural romance and character dynamics."
America at 1750: A Social Portrait,"Demonstrates how the colonies developed into the first nation created under the influences of nationalism, modern capitalism and Protestantism.",['Richard Hofstadter'],http://books.google.com/books/content?id=uMVMAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=uMVMAAAAMAAJ&q=America+at+1750:+A+Social+Portrait&dq=America+at+1750:+A+Social+Portrait&hl=&cd=1&source=gbs_api,Vintage,1973,http://books.google.nl/books?id=uMVMAAAAMAAJ&dq=America+at+1750:+A+Social+Portrait&hl=&source=gbs_api,['History'],2.0,"Richard Hofstadter's ""America at 1750"" provides an insightful exploration of Colonial America, covering population growth, ethnic diversity, and the impact of white indentured servitude and black slavery. The book examines the colonial middle class and religious movements like the Great Awakening, revealing the society's foundational attitudes and institutions. Hofstadter is praised for his narrative skill and detailed presentation, yet some reviewers find it dry, overly intellectual, and challenging to read. While appreciated by history enthusiasts for its depth and perspective, others struggle with its style and question its accessibility outside academic settings. Overall, it's esteemed as an instructive, albeit dense, historical narrative."
Perry Mason in the Case of Too Many Murders,"A Los Angeles businessman kills his dinner companion and is himself murdered minutes later, leaving his estranged wife, the prime suspect in the case, to contact Perry Mason for help",['Thomas Chastain'],http://books.google.com/books/content?id=oOdmGU8i_H8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=oOdmGU8i_H8C&q=Perry+Mason+in+the+Case+of+Too+Many+Murders&dq=Perry+Mason+in+the+Case+of+Too+Many+Murders&hl=&cd=1&source=gbs_api,Avon Books,1990-07,http://books.google.nl/books?id=oOdmGU8i_H8C&dq=Perry+Mason+in+the+Case+of+Too+Many+Murders&hl=&source=gbs_api,['Fiction'],2.0,"The reviewed book is a modern continuation of the Perry Mason series, featuring a complex murder case involving Gil Adrian and his wife, Laurel. Laurel is falsely accused, prompting Perry Mason to uncover clues and ultimately reveal the true murderer during a dramatic courtroom scene. While praised for incorporating updated procedures and maintaining the formulaic Mason plot, the book receives criticism for lacking the original series' dedicated charm and style, typical of Gardner's 1930s and 40s work. Characters have evolved, including Paul Drake Jr. as the investigator and a friendlier Mason-police dynamic. Despite stylistic differences, Chastain's effort is deemed a worthy addition."
How to Discipline Kids without Losing Their Love and Respect,"Imagine... No More Arguing. Imagine... No More Manipulation. Imagine... Stess Free Parenting. For over fifty years, Jim Fay has worked with schools, families, and children in the areas of teaching, parenting and discipline. In 1977, along with internationally renowned psychiatrist Dr. Foster W. Cline, he founded the Love and Logic Institute, Inc. which is dedicated to helping parents and educators create responsible kids. We know you will enjoy this book by beloved storyteller and parenting expert, Jim Fay, as he speaks to parents, educators, and community leaders about how to discipline kids without losing their love or respect.",['Jim Fay'],http://books.google.com/books/content?id=IWXqPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=IWXqPAAACAAJ&dq=How+to+Discipline+Kids+without+Losing+Their+Love+and+Respect&hl=&cd=1&source=gbs_api,Love & Logic Press,2004-01-01,http://books.google.nl/books?id=IWXqPAAACAAJ&dq=How+to+Discipline+Kids+without+Losing+Their+Love+and+Respect&hl=&source=gbs_api,['Family & Relationships'],1.0,"The reviewed book is praised for providing practical parenting techniques from the ""Love and Logic"" approach, designed to reduce conflicts and enhance parent-child relationships. Positive feedback highlights the book's concise format, making it accessible with clear and actionable strategies such as ""I know,"" ""Nice try,"" and ""I love you too much to argue."" Many readers found it effective in various scenarios, including dealing with stubborn behavior and preventing crises, while helping children become responsible. However, some noted its brevity as a downside, although it serves well as an introduction or supplement to other Love and Logic resources. Overall, it's highly recommended for parents seeking simple, effective parenting tools."
Bruce Lee: The Incomparable Fighter,"Get to know the true Bruce Lee through the eyes of his friend, M. Uyehara. Pound for pound, he may have been the greatest fighter who ever lived. Read about his good and bad times, his dreams and destiny shattered by his early death.",['M. Uyehara'],http://books.google.com/books/content?id=Z4qHatHRJlsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Z4qHatHRJlsC&printsec=frontcover&dq=Bruce+Lee:+The+Incomparable+Fighter&hl=&cd=1&source=gbs_api,Black Belt Communications,1988,http://books.google.nl/books?id=Z4qHatHRJlsC&dq=Bruce+Lee:+The+Incomparable+Fighter&hl=&source=gbs_api,['Biography & Autobiography'],2.0,"The reviews highlight the challenge of capturing Bruce Lee's essence in a book, as his approach was fluid and non-traditional. Readers appreciate the effort to explore his philosophy and influence, acknowledging that Lee's impact comes from his adaptability and innovation rather than a rigid technique. Positive feedback centers on the insights into his mindset and life philosophy. However, some express disappointment that the book doesn't fully encapsulate Lee’s dynamic style or personal charisma, reflecting the inherent difficulty of translating his unique martial arts approach into text."
"The Art of Technical Documentation, Second Edition","An essential text in the field of contemporary art history, it has now been updated to represent 30 countries and over 100 new artists. The internationalism evident in this revised edition reflects the growing interest in contemporary art throughout the world from the U.S. and Europe to the Middle East, Asia, Africa, Latin America, and Australia.","['Kristine Stiles', 'Peter Selz']",http://books.google.com/books/content?id=5qklDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=5qklDQAAQBAJ&pg=PA463&dq=The+Art+of+Technical+Documentation,+Second+Edition&hl=&cd=1&source=gbs_api",Univ of California Press,2012-09-25,"http://books.google.nl/books?id=5qklDQAAQBAJ&dq=The+Art+of+Technical+Documentation,+Second+Edition&hl=&source=gbs_api",['Art'],1.0,"The book is recommended as an introductory guide to technical writing, offering broad insights for those new to the field. However, its varying depth and occasionally outdated content, such as an overemphasis on dot-matrix printers, limit its utility for experienced professionals. Some content organization issues, like misplaced sections, are noted. Positively, the book provides valuable steps for improving technical documentation, potentially enhancing clarity and user understanding. Despite its limitations, the guide is praised for helping create clearer documentation, though it's suggested that there are more comprehensive resources available for seasoned technical writers."
The Rabbi's Cat,"Gaining the ability to speak after swallowing a parakeet, the rabbi's cat uses his newfound talent to tell lies, the consequences of which lead to being banned from contact with the rabbi's daughter and an education in the Torah, despite his preference for the Kabbalah and his desire for a bar mitvah. Mature.",['Joann Sfar'],http://books.google.com/books/content?id=cNQbAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=cNQbAQAAIAAJ&q=The+Rabbi%27s+Cat&dq=The+Rabbi%27s+Cat&hl=&cd=1&source=gbs_api,Pantheon,2005,http://books.google.nl/books?id=cNQbAQAAIAAJ&dq=The+Rabbi%27s+Cat&hl=&source=gbs_api,['Comics & Graphic Novels'],25.0,"""The Rabbi's Cat"" is a graphic novel that provides an insightful and humorous exploration of Jewish identity and culture in 1930s Algeria and France, seen through the eyes of a rabbi's talking cat. The book tackles themes such as love, tradition, cultural conflict, and anti-Semitism with a clever, philosophical tone. Positive feedback highlights its engaging storytelling, vibrant artwork, and thought-provoking narrative that blends humor with depth. However, some readers criticize it as overly wordy for a graphic novel and note issues with the small text size and excessive detail in illustrations. The novel is not recommended for children due to mature themes and language."
JFK: The Last Dissenting Witness,"Jean Hill, the ""lady in red"" in Zapruder's Kennedy assassination film, saw a gunman on the famous grassy knoll on November 22, 1963. That gunman was NOT Lee Harvey Oswald. In this highly personal narrative, Hill discloses the trauma and intimidation she experienced as well as her struggle to keep her career and her sanity after she, a single mother of two, became embroiled in the greatest murder mystery of the century.","['Sloan, Bill']",http://books.google.com/books/content?id=BPKo3kC3YtIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=BPKo3kC3YtIC&printsec=frontcover&dq=JFK:+The+Last+Dissenting+Witness&hl=&cd=1&source=gbs_api,Pelican Publishing,2010-09-23,https://play.google.com/store/books/details?id=BPKo3kC3YtIC&source=gbs_api,['History'],1.0,"""JFK: The Last Dissenting Witness,"" co-authored by Jean Hill, recounts her experiences as a close witness to President Kennedy's assassination, alleging conspiracy and cover-ups. Hill asserts she saw multiple shots fired from the grassy knoll and controversially claims to have witnessed Jack Ruby at the scene. Her testimony faced skepticism, with critics citing inconsistencies and lack of documentation. Positive reviews praise Hill's courage and the book's gripping narrative, viewing it as a testament to government corruption. Conversely, detractors question the book's credibility, describing it as more fictionalized drama than factual, thereby undermining conspiracy theories."
From Potter's Field,"The sixth book in the Kay Scarpetta series, from No. 1 bestselling author Patricia Cornwell. 'America's most chilling writer of crime fiction' The Times Christmas had never been a particularly good time for Dr Kay Scarpetta. Although a holiday for most, it always seem to heighten the alienation felt by society's violent fringe; and that usually means more work for Scarpetta, Virginia's Chief Medical Examiner. The body was naked, female and found propped against a fountain in a bleak area of New York's Central Park. Her apparent manner of death points to a modus operandi that is chillingly familiar: the gunshot wound to the head, the sections of skin excised from the body, the displayed corpse - all suggest that Temple Brooks Gault, Scarpetta's nemesis, is back at work. Calling on all her reserves of courage and skill, and the able assistance of colleagues Marino and Wesley, Scarpetta must track this most dangerous of killers in pursuit of survival as well as justice - heading inexorably to an electrifying climax amid the dark, menacing labyrinths of the New York subway. Praise for the groundbreaking series: 'One of the best crime writers writing today' Guardian 'Devilishly clever' Sunday Times 'The top gun in this field' Daily Telegraph 'Forget the pretenders. Cornwell reigns' Mirror 'The Agatha Christie of the DNA age' Express",['Patricia Cornwell'],http://books.google.com/books/content?id=prefgSxnGOwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=prefgSxnGOwC&printsec=frontcover&dq=From+Potter%27s+Field&hl=&cd=1&source=gbs_api,Hachette UK,2008-09-04,https://play.google.com/store/books/details?id=prefgSxnGOwC&source=gbs_api,['Fiction'],19.0,"""From Potter's Field"" by Patricia Cornwell is a suspense-filled thriller centered around Dr. Kay Scarpetta, a chief medical examiner. The narrative follows her pursuit of the sadistic serial killer, Temple Gault, who taunts authorities with his evasive maneuvers and continuous killing spree in New York City. Readers praise the novel for its gripping plot and Cornwell's ability to evoke suspense, though some criticize the abrupt ending and underdeveloped characters. Particularly, Kay's affair and Lucy's erratic behavior are deemed unrealistic. Despite the mixed reviews, many readers enjoyed the forensic details and the fast-paced storyline."
The Starchild Trilogy,"The mysterious being, Starchild, threatens to extinguish the Earth's sun and destroy its ruler, the Plan of Man","['Frederik Pohl', 'Jack Williamson']",http://books.google.com/books/content?id=xaF6P2cordAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=xaF6P2cordAC&q=The+Starchild+Trilogy&dq=The+Starchild+Trilogy&hl=&cd=1&source=gbs_api,,1986,http://books.google.nl/books?id=xaF6P2cordAC&dq=The+Starchild+Trilogy&hl=&source=gbs_api,['Fiction'],1.0,"The ""Starchild Trilogy"" by Frederik Pohl and Jack Williamson comprises three novels: ""The Reefs of Space,"" ""Starchild,"" and ""Rogue Star."" Reviewers generally praise the first book, ""The Reefs of Space,"" for its imaginative and detailed setting, featuring the Plan of Man, a super-computer controlling society. The novel's intriguing concepts, like The Body Bank and The Collar, fascinated readers, despite some unresolved plot points. ""Starchild"" maintains interest, particularly the exploration of the Plan of Man and the free societies on the Reefs, though it failed to capture the same intrigue as the first. ""Rogue Star"" is widely viewed as the weakest, criticized for abandoning interesting storylines in favor of less engaging narratives. While the trilogy isn't seen as a cohesive epic, it presents captivating ideas about human evolution and societal control. Overall, the writing quality diminishes with each book, but the series is still recommended, particularly for fans of classic science fiction."
Lost Cities of Africa and Arabia (The Lost City Series),"Join Childress as he discovers forbidden cities in the Empty Quarter of Arabia, 'Atlantean' ruins in Egypt and the Kalahari desert; a mysterious, ancient empire in the Sahara; and more. This is an extraordinary life on the road: across war torn countries Childress searches for King Solomon's Mines, living dinosaurs, the Ark of the Covenant and the solutions to the fantastic mysteries of the past.",['David Hatcher Childress'],http://books.google.com/books/content?id=prq6ykijSyQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=prq6ykijSyQC&printsec=frontcover&dq=Lost+Cities+of+Africa+and+Arabia+(The+Lost+City+Series)&hl=&cd=1&source=gbs_api,Adventures Unlimited Press,1989,http://books.google.nl/books?id=prq6ykijSyQC&dq=Lost+Cities+of+Africa+and+Arabia+(The+Lost+City+Series)&hl=&source=gbs_api,"['Body, Mind & Spirit']",2.0,"David Hatcher Childress's ""Lost Cities and Ancient Mysteries of Africa and Arabia"" provokes mixed reactions. On the positive side, readers find it entertaining, with intriguing travel anecdotes and imaginative, if far-fetched, theories about ancient civilizations. Childress's adventurous spirit and narrative style make the book an enjoyable read for those open to speculative history, boasting wide coverage of unusual topics. However, the book receives criticism for its lack of scholarly rigor, typographical errors, and recycled content from his other works. Critics also find Childress's speculative theories, such as ancient advanced technologies and alien influences, implausible and lacking credible evidence. Overall, it is seen as a fun read but not a credible academic resource."
